MEASUREMENT_FREE_TEXT	extracted::IS_POS	COUNT	NOTES	ratio_COUNT	Npeople	ratio_Npeople	Npeople	ratio_Npeople
ENA vasta-aineseulonta (RNP,Sm,SSA,SSB,Jo1,Scl70,Cent) negatiivinenSpesifisiä vasta-aineita ei määritetä.	NA	118	NA	3.371	99	2.912	49	NA
Negativ	0	117	NA	1.136	65	1.25	76	NA
-negat	0	117	NA	1	109	1	21	NA
NhO:: NEGATIIVINEN	0	116	NA	NA	94	NA	52	NA
Provresultat: Neg Lomake	NA	111	NA	2.775	97	3.731	59	NA
Tutkimuksen tulos: gluk neg keto neg suht.tiheys 1.025 veri neg ph 5 prot neg nitr neg leuk neg	0	110	NA	1	104	1	73	NA
LÖYDÖS: (Värjäys) Värjäystulos negat1. LÖYDÖS: Negatiivinen	0	110	NA	NA	68	NA	72	NA
VÄRJÄYS:: NEGATIIVINEN; VILJELY:: NEGATIIVINEN	0	110	NA	NA	57	NA	70	NA
NEG Lopullinen vastaus SARS-CoV-2-nukleiinihappo-osoitus negatiivinen.	0	110	NA	1	101	1	43	NA
S-HCVAb-O negatiivinen. P-HCVNhJt-tutkimusta ei tehdä.	0	109	NA	NA	97	NA	63	NA
Tehty NEGAT NhO tulosNäytteestä ei ole tehty viljelyä.Tutkimukseen sisältyvät Campylobacter spp,Salmonella spp., Shigella spp., Yersiniaenterocolitica, EHEC, Aeromonas spp.,Vibrio spp., Clostridium difficile toxin B,hypervirulentti Clostridium difficile ja vain NhO-tutkimuksella todettavissa olevat ripuliaaiheuttavat E.colit (ETEC, EPEC, EIEC, EAEC).	0	109	NA	NA	109	NA	67	NA
+(pos)*	1	109	NA	1	104	1	52	NA
lopull.neg	0	108	NA	0.991	98	0.99	70	NA
pos Arvio	1	107	NA	1	90	1	43	NA
+++(pos)	1	107	NA	1.059	104	1.061	60	NA
- (Neg)	0	106	NA	1	100	1	38	NA
Resultat: POSIT Lomake	1	106	NA	1	65	1	67	NA
1. LÖYDÖS: (Viljely) Negatiivinen	NA	106	NA	1.514	79	1.58	67	NA
posit**	1	105	NA	1.296	82	1.262	45	NA
Tutkimuksen tulos: Negat. indeksi	0	104	check testID	1	103	1	64	NA
Nukleiinihappo-osoitukset negatiiviset.	NA	104	NA	2.122	87	2.486	49	NA
POSIT kopiota/ml	1	103	NA	1	22	1	38	NA
negat Lomake	NA	103	NA	1.635	23	2.556	63	NA
Tulos positiivinen, näytteestä osoitettu CMV-DNA:ta.	NA	103	NA	1.807	25	1.667	63	NA
Provresultat: NEGATIV Lomake	0	102	NA	NA	16	NA	53	NA
Tehty LÖYDÖS: (Värjäys) Negatiivinen	0	102	NA	NA	77	NA	45	NA
U-Stixit kaikki Negat.	0	99	NA	1.138	79	1.129	62	NA
Provresultat: negat Lomake	0	97	NA	1.244	36	1.161	33	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettä ei viljellä.Näytteenoton syy: kirvely/tihent.tarveNäytteen ottotapa: keskivirtsa	NA	97	NA	6.467	85	5.667	57	NA
Tutkimuksen tulos: negat Lomake	0	97	NA	1.155	44	1.128	51	NA
Tutkimuksen tulos: NEGAT.	0	96	NA	1	35	1	37	NA
Tutkimuksen tulos: positiivinen	1	96	NA	1	95	1	49	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettäei viljellä.Virtsanäytetyyppi: PLV: alle 4 hMIKSI NÄYTE ON OTETTU?: kontrolli	NA	95	NA	5	91	4.789	38	NA
Provresultat: neg g/l	NA	95	NA	1.827	59	1.553	27	NA
Tutkimuksen tulos: neg Lomake	0	93	NA	1.134	44	1.1	52	NA
PCR:: NEGATIIVINEN	0	93	NA	NA	68	NA	30	NA
Tutkimuksen tulos: Lopullinen vastaus1. LÖYDÖS: (Viljely) NEGATIIVINEN	0	90	NA	1	69	1	54	NA
negatiivin	0	88	NA	1.143	79	1.082	52	NA
Vastaus: negat Lomake	0	87	NA	1	31	1	43	NA
NEGAT EIU	0	86	NA	1.024	71	1.029	55	NA
StrB-Viljely: NEGATIIVINEN	0	86	NA	NA	86	NA	45	NA
Tutkimuksen tulos: NEGAT bakt/ml	0	85	NA	1	54	1	53	NA
<2 S-hCG viitearvot:fert.ikäiset alle 5 IU/lraskaus/raskauden jälkitila yli 25 IU/lpostmenopaussi alle 14 IU/lS-hCG viitearvot:fert.ikäiset alle 5 IU/lraskaus/raskauden jälkitila yli 25 IU/lpostmenopaussi alle 14 IU/l	NA	85	false "positive" (pun intended) from Post string	NA	73	NA	47	NA
VÄRJ: Leuk:: ; VÄRJ: Bakt:: ; HERKKYYS:: ; .: ; AER.VILJ:: NEGATIIVINEN; ANAER.VI:: NEGATIIVINEN	NA	85	NA	NA	45	NA	50	NA
Tehty NegatiivinenAkkreditoitu tutkimus.	0	84	NA	NA	84	NA	51	NA
NEGAT Lopullinen vastaus Näytteen laatu5:PUUTTUU	0	82	NA	1	79	1	46	NA
NEGATNäytteen laatu:NENÄNIELU	0	82	NA	1	78	1	52	NA
Resultat: negativ Lomake	0	82	NA	1	59	1	50	NA
Tutkimuksen tulos: NEGAT U/ml	0	82	NA	1	74	1	40	NA
negatNäytteenoton syy: VTI epäilyOttotapa: keskisuihkuRakkoaika: > 4 h	0	81	NA	NA	72	NA	49	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettä ei viljellä.Näytteenoton syy: raskausNäytteen ottotapa: keskivirtsa	0	81	NA	6.75	73	6.083	32	NA
POS>25	1	79	NA	1.039	66	1.031	43	NA
ULTRAMAXTUTKIMUS VASTAANOTOLLA  Negatiivinen.	0	78	NA	1	68	1	35	NA
Resultat: O Rh(D)pos	NA	78	Blood type	1	18	1	41	NA
Provresultat: neg.	0	78	NA	1	62	1	48	NA
PAKETTI| NEGAT	0	77	Package	1.013	70	1.014	43	NA
Tutkimuksen tulos: Ei tehty, koska S-ENA negat. U ml	NA	77	False negative	1	63	1	36	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettäei viljellä.Virtsanäytetyyppi: PLVMIKSI NÄYTE ON OTETTU?: inf?	NA	76	NA	1.854	76	1.854	40	NA
