OMOP Concept ID	Lab test ID	Lab test abbreviation	Lab test unit
3045424	1345	u-eryt-o	form
3045424	45	u-eryt-o	NA
3045424	6	u-eryt-o	NA
3045424	5	u-eryt-o	NA
3045424	600749	u-eryt-o	NA
3045424	1345	u-eryt-o	kvalit
3045462	4712	u-prokre	g/mol
3045462	9605	u-prokre	g/mol
3045462	4712	u-prokre	mg/mmol
3045462	4712	u-prokre	binary
3045462	647400	u-prokre	mg/mmol
3045462	7353952	u-prokre	g/mol
3045519	1958	s-venlaf	nmol/l
3045519	1958	s-venlaf	µg/l
3045519	1958	s-venlaf	binary
3045592	8355	bm-lmark-h	binary
3045592	8367	b-lmark	binary
3045683	4640	b-hlakeli	binary
3045683	606788	b-hlakeli	binary
3045683	611578	b-hlakeli	binary
3045683	600502	b-hlakeli	binary
3045683	603195	b-hlakeli	binary
3045684	8730	s-afmakro	u/l
3045684	602864	s-afmakro	u/l
3045684	8730	s-afmakro	binary
3045684	1606547	s-afmakro	u/l
3045684	2606547	s-afmakro	u/l
3045684	1602864	s-afmakro	u/l
3045684	203	s-afmakro	u/l
3045684	1623713	s-afmakro	u/l
3045716	4856	p-angap	mmol/l
3045759	3816	p-histam	binary
3045781	6450	s-inhibb	ng/l
3045781	20040	s-inhibb	ng/l
3045781	6450	s-inhibb	binary
3045781	10135	s-inhibb	ng/l
3045781	9165	s-inhibb	ng/l
3045781	3555	s-inhibb	ng/l
3045781	8680	s-inhibb	ng/l
3045781	9235	s-inhibb	ng/l
3045781	8629	s-inhibb	ng/l
3045781	1605167	s-inhibb	ng/l
3045781	40	s-inhibb	ng/l
3045781	10168	s-inhibb	ng/l
3045781	9238	s-inhibb	ng/l
3045788	2657	pf-solut	e6/l
3045788	2657	pf-solut	binary
3045788	3002657	pf-solut	e6/l
3045788	1102657	pf-solut	e6/l
3045788	633089	pf-solut	binary
3045975	8146	s-igakeli	binary
3045975	8146	s-igakeli	g/l
3046279	1773	p-pct	µg/l
3046279	50407	p-pct	µg/l
3046279	6462	p-pct	µg/l
3046279	1773	s-pct	µg/l
3046279	1773	p-pct	ng/ml
3046279	12590	p-pct	µg/l
3046279	619806	p-pct	binary
3046279	1773	s-pct	binary
3046279	1773	p-pct	binary
3046279	11659	p-pct	µg/l
3046279	1773	p-pct	NA
3046279	6462	p-pct	binary
3046279	7367721	p-pct	µg/l
3046279	7367721	p-pct	binary
3046279	624155	p-pct	µg/l
3046279	3001773	p-pct	µg/l
3046279	622731	p-pct	µg/l
3046279	625752	p-pct	µg/l
3046279	3001773	p-pct	binary
3046279	628175	p-pct	µg/l
3046279	622632	p-pct	µg/l
3046279	632651	p-pct	µg/l
3046279	625752	p-pct	binary
3046279	609503	p-pct	binary
3046279	622731	p-pct	binary
3046279	617780	p-pct	µg/l
3046279	656340	p-pct	µg/l
3046279	627692	p-pct	µg/l
3046279	655032	p-pct	µg/l
3046279	622197	s-pct	binary
3046279	3001773	p-pct	ng/ml
3046294	9296	s-c-ancif	binary
3046294	9296	s-c-ancif	titre
3046294	3009296	s-c-ancif	binary
3046294	2606945	s-c-ancif	binary
3046426	6099	s-aqp4ab	binary
3046426	6099	s-aqp4ab	titre
3046524	8322	ps-infaag	binary
3046524	3008322	ps-infaag	binary
3046524	608795	ps-infaag	binary
3046524	4008322	ps-infaag	binary
3046524	2900965	ps-infaag	binary
3046524	2663302	ps-infaag	binary
3046524	3657729	ps-infaag	binary
3046524	4063529	ps-infaag	binary
3046594	4843	p-il8	ng/l
3046594	4843	p-il8	binary
3046682	4766	sk-if-iga	binary
3046870	1886	s-ttgabg	binary
3046870	101886	s-ttgabg	binary
3046870	1886	s-ttgabg	u/ml
3046870	2606384	s-ttgabg	binary
3046870	1604766	s-ttgabg	u/ml
3046870	1606384	s-ttgabg	binary
3046870	1886	s-ttgabg	eliau/ml
3046870	606384	s-ttgabg	binary
3046870	604352	s-ttgabg	binary
3046870	621612	s-ttgabg	binary
3046870	615316	s-ttgabg	binary
3046870	602571	s-ttgabg	binary
3046870	4001886	s-ttgabg	binary
3046870	609406	s-ttgabg	binary
3046870	1886	s-ttgabg	form
3046870	608778	s-ttgabg	binary
3046870	3001886	s-ttgabg	u/ml
3046870	603345	s-ttgabg	binary
3046870	3001886	s-ttgabg	binary
3046870	617053	s-ttgabg	binary
3046870	610312	s-ttgabg	u/ml
3046870	1886	s-ttgabg	NA
3046870	600933	s-ttgabg	u/ml
3046870	603210	s-ttgabg	binary
3046896	6135	li-hhv6nh	binary
3046896	1869	li-hhv6nho	binary
3046904	2035	fs-gh	µg/l
3046904	2035	fs-gh	mu/l
3046904	2035	fs-gh	binary
3046904	2035	fs-gh	mlu/l
3046904	3002035	fs-gh	µg/l
3046904	6002035	fs-gh	mu/l
3046904	102035	fs-gh	µg/l
3046904	2035	fs-gh	miu/l
3046914	329	u-jyvlier	u/field
3047005	9624	u-nakre	NA
3047142	8356	b-lydikll	binary
3047161	1253	s-codiab	iu/ml
3047161	1253	s-codiab	binary
3047161	1253	s-codiab	spu/ml
3047161	1253	s-codiab	NA
3047161	1253	s-codiab	ui/ml
3047169	4950	s-iglcl-v	mg/l
3047169	4950	s-iglcl-v	binary
3047169	616406	s-iglcl-v	mg/l
3047169	261	s-iglcl-v	mg/l
3047169	995	s-iglcl-v	mg/l
3047169	619596	s-iglcl-v	mg/l
3047169	20113	s-iglcl-v	mg/l
3047169	625	s-iglcl-v	mg/l
3047169	619586	s-iglcl-v	mg/l
3047169	619596	s-iglcl-v	binary
3047169	616406	s-iglcl-v	binary
3047169	606138	s-iglcl-v	binary
3047169	7036123	s-iglcl-v	mg/l
3047169	604063	s-iglcl-v	mg/l
3047169	2900786	s-iglcl-v	mg/l
3047169	613268	s-iglcl-v	mg/l
3047169	607835	s-iglcl-v	mg/l
3047169	10015935	s-iglcl-v	mg/l
3047169	619033	s-iglcl-v	binary
3047169	10015925	s-iglcl-v	mg/l
3047169	1646171	s-iglcl-v	mg/l
3047169	3946757	s-iglcl-v	mg/l
3047169	622122	s-iglcl-v	binary
3047169	608012	s-iglcl-v	mg/l
3047169	631372	s-iglcl-v	mg/l
3047169	261	s-iglcl-v	binary
3047169	7036123	s-iglcl-v	binary
3047169	7022891	s-iglcl-v	mg/l
3047169	603279	s-iglcl-v	mg/l
3047169	4059070	s-iglcl-v	binary
3047169	995	s-iglcl-v	binary
3047169	1665100	s-iglcl-v	binary
3047169	604063	s-iglcl-v	binary
3047169	3641471	s-iglcl-v	binary
3047169	625	s-iglcl-v	binary
3047169	630578	s-iglcl-v	binary
3047169	625	s-iglcl-v	mg/l
3047169	20113	s-iglcl-v	binary
3047169	655134	s-iglcl-v	mg/l
3047169	613268	s-iglcl-v	binary
3047181	2183	b-laktaat	mmol/l
3047181	2183	b-laktaat	binary
3047185	1677	u-igg	mg/l
3047189	3403	du-immfix	binary
3047189	103403	du-immfix	binary
3047826	9620	s-amh	µg/l
3048469	3957	s-ohkarba	µmol/l
3048469	3957	s-ohkarba	binary
3048469	13957	s-ohkarba	µmol/l
3048469	3003957	s-ohkarba	µmol/l
3048469	103957	s-ohkarba	µmol/l
3048469	3003957	s-ohkarba	binary
3048469	1103957	s-ohkarba	µmol/l
3048469	2103957	s-ohkarba	µmol/l
3048469	1003957	s-ohkarba	binary
3048469	13957	s-ohkarba	binary
3048469	6003957	s-ohkarba	µmol/l
3048469	1003957	s-ohkarba	µmol/l
3048469	609402	s-ohkarba	binary
3048469	626914	s-ohkarba	binary
3048469	4003957	s-ohkarba	µmol/l
3048469	603047	s-ohkarba	µmol/l
3048469	1654092	s-ohkarba	µmol/l
3048469	626914	s-ohkarba	µmol/l
3048469	4003957	s-ohkarba	binary
3048518	4426	p-luakptt	NA
3048518	4426	p-luakptt	ratio
3048518	44426	p-luakptt	NA
3048518	7355745	p-luakptt	NA
3048518	615936	p-luakptt	NA
3048518	4426	p-luakptt	binary
3048518	104426	p-luakptt	NA
3048518	10016891	p-luakptt	ratio
3048518	1648133	p-luakptt	ratio
3048518	614666	p-luakptt	ratio
3048518	604401	p-luakptt	ratio
3048518	4426	p-luakptt	form
3048518	602726	p-luakptt	NA
3048518	603697	p-luakptt	ratio
3048518	10016890	p-luakptt	ratio
3048518	632525	p-luakptt	NA
3048518	7023012	p-luakptt	NA
3048689	4803	f-calpro	µg/g
3048689	4803	f-calpro	binary
3048689	4871	f-calpro	µg/g
3048689	616027	f-calpro	µg/g
3048689	7354384	f-calpro	µg/g
3048689	613422	f-calpro	binary
3048689	606035	f-calpro	binary
3048689	616027	f-calpro	binary
3048689	604353	f-calpro	µg/g
3048689	610791	f-calpro	binary
3048689	605777	f-calpro	binary
3048689	604353	f-calpro	binary
3048689	610791	f-calpro	µg/g
3048689	3896466	f-calpro	µg/g
3048689	2926547	f-calpro	µg/g
3048689	4871	f-calpro	binary
3048689	2896466	f-calpro	µg/g
3048689	4803	f-calpro	NA
3048689	7354384	f-calpro	binary
3048689	620977	f-calpro	µg/g
3048689	603838	f-calpro	µg/g
3048689	2672082	f-calpro	µg/g
3048689	3967037	f-calpro	µg/g
3048689	613215	f-calpro	µg/g
3048689	2645680	f-calpro	µg/g
3048689	10015542	f-calpro	µg/g
3048689	1646731	f-calpro	µg/g
3048689	647056	f-calpro	µg/g
3048689	602410	f-calpro	µg/g
3048689	1665000	f-calpro	binary
3048689	603731	f-calpro	µg/g
3048689	630232	f-calpro	binary
3048689	603224	f-calpro	µg/g
3048689	625989	f-calpro	µg/g
3048689	3658782	f-calpro	binary
3048689	10015539	f-calpro	µg/g
3048689	624582	f-calpro	µg/g
3048689	1631884	f-calpro	binary
3048689	7010672	f-calpro	µg/g
3048689	604472	f-calpro	binary
3048689	609050	f-calpro	µg/g
3048689	1646731	f-calpro	binary
3048689	3635945	f-calpro	binary
3048689	606191	f-calpro	binary
3048689	602508	f-calpro	µg/g
3048689	602932	f-calpro	µg/g
3048689	1616027	f-calpro	µg/g
3048689	606076	f-calpro	µg/g
3048689	603838	f-calpro	binary
3048689	602508	f-calpro	binary
3048689	609050	f-calpro	binary
3048689	602930	f-calpro	µg/g
3048689	10015542	f-calpro	binary
3048689	620977	f-calpro	binary
3048689	603314	f-calpro	binary
3048689	613215	f-calpro	binary
3048689	1616027	f-calpro	binary
3048689	10015539	f-calpro	binary
3048689	603731	f-calpro	binary
3048689	603224	f-calpro	binary
3048689	624582	f-calpro	binary
3048689	602410	f-calpro	binary
3048689	3741855	f-calpro	binary
3048689	2631884	f-calpro	binary
3048689	3967037	f-calpro	binary
3048689	625989	f-calpro	binary
3048689	3631884	f-calpro	binary
3048689	4803	f-calpro	<100
3048689	3896466	f-calpro	binary
3048689	7010672	f-calpro	binary
3048689	2672082	f-calpro	binary
3048689	602932	f-calpro	binary
3048689	603126	f-calpro	binary
3048689	8900	f-calpro	µg/g
3048689	602930	f-calpro	binary
3048689	4803	f-calpro	mikrog/g
3048773	4568	fp-trigly	mmol/l
3048773	4530	fp-trigly	mmol/l
3048773	605258	fp-trigly	mmol/l
3048773	1605041	fp-trigly	mmol/l
3048773	4568	fp-trigly	binary
3048773	3004568	fp-trigly	binary
3048773	1605285	fp-trigly	mmol/l
3048773	102770	fp-trigly	mmol/l
3048773	3004568	fp-trigly	mmol/l
3048773	609273	fp-trigly	mmol/l
3048773	620657	fp-trigly	mmol/l
3048773	2605285	fp-trigly	mmol/l
3048773	605258	fp-trigly	binary
3048773	604454	fp-trigly	mmol/l
3048773	2770	fp-trigly	mmol/l
3048773	604454	fp-trigly	binary
3048773	1604624	fp-trigly	mmol/l
3048773	1002770	fp-trigly	binary
3048773	603107	fp-trigly	mmol/l
3048773	1002770	fp-trigly	mmol/l
3048773	605285	fp-trigly	binary
3048773	602783	fp-trigly	mmol/l
3048773	2605285	fp-trigly	binary
3048773	104568	fp-trigly	mmol/l
3048773	1605258	fp-trigly	mmol/l
3048773	602576	fp-trigly	mmol/l
3048773	7010320	fp-trigly	mmol/l
3048773	619207	fp-trigly	mmol/l
3048773	603239	fp-trigly	mmol/l
3048773	4568	fp-trigly	NA
3048773	602858	fp-trigly	mmol/l
3048773	1605258	fp-trigly	binary
3048773	602372	fp-trigly	mmol/l
3048773	1605285	fp-trigly	binary
3048773	609273	fp-trigly	binary
3048773	9956	fp-trigly	mmol/l
3048773	1604624	fp-trigly	binary
3048773	620657	fp-trigly	NA
3048773	102770	fp-trigly	binary
3048773	619207	fp-trigly	binary
3048773	9369	fp-trigly	mmol/l
3048773	620657	fp-trigly	binary
3048773	603107	fp-trigly	binary
3048773	602576	fp-trigly	binary
3048773	602858	fp-trigly	binary
3048773	603239	fp-trigly	binary
3048773	4530	fp-trigly	binary
3048773	2770	fp-trigly	binary
3048773	1605041	fp-trigly	NA
3048773	619207	fp-trigly	NA
3048773	104568	fp-trigly	binary
3048773	2770	fp-trigly	NA
3048773	602372	fp-trigly	binary
3048816	5099	s-ca(7.4)	mmol/l
3048816	3005099	s-ca(7.4)	mmol/l
3048816	632113	s-ca(7.4)	mmol/l
3048816	5099	s-ca(7.4)	binary
3048816	5099	s-ca(7.4)	NA
3048816	1600529	s-ca(7.4)	mmol/l
3048816	3005099	s-ca(7.4)	binary
3048821	1225	pt-dxm-r1	binary
3048821	1225	pt-dxm-r1	nmol/l
3048821	1225	pt-dxm-r1	NA
3048929	2360	s-monab-o	binary
3048929	1335	s-ebvab	binary
3048929	102360	s-monab-o	binary
3048929	607591	s-monab-o	binary
3048929	3002360	s-monab-o	binary
3048929	601913	s-ebvab	binary
3048929	101335	s-ebvab	binary
3048929	2102360	s-monab-o	binary
3048929	1102360	s-monab-o	binary
3048929	4002360	s-monab-o	binary
3048929	647837	s-ebvab	binary
3048929	602122	s-monab-o	binary
3048929	2607249	s-ebvab	binary
3048929	623438	s-ebvab	binary
3048929	1337	s-ebvab	binary
3048929	6002360	s-monab-o	binary
3048929	607249	s-ebvab	binary
3049149	3628	fp-renin-p	mu/l
3049149	3628	fp-renin-p	binary
3049149	2103628	fp-renin-p	mu/l
3049149	103628	fp-renin-p	mu/l
3049149	3003628	fp-renin-p	mu/l
3049149	1003628	fp-renin-p	mu/l
3049207	20755	ikäriski	binary
3049207	39	ikäriski	binary
3049207	3636032	ikäriski	binary
3049207	607338	ikäriski	binary
3049207	12977	ikäriski	binary
3049207	3896330	ikäriski	binary
3049207	1632109	ikäriski	binary
3049207	2644544	ikäriski	binary
3049207	648789	ikäriski	binary
3049207	3632109	ikäriski	binary
3049233	4855	u-orgah	binary
3049506	4836	nu-alb	µg/min
3049506	4836	nu-alb	binary
3049506	4836	nu-alb-mi	µg/min
3049506	1606685	nu-alb	binary
3049506	2606685	nu-alb	binary
3049506	618176	nu-alb	binary
3049506	4836	nu-alb-mi	binary
3049506	1615991	nu-alb-mi	µg/min
3049506	606685	nu-alb	binary
3049506	618176	nu-alb	µg/min
3049506	622652	nu-alb-mi	µg/min
3049506	620342	nu-alb-mi	µg/min
3049506	647333	nu-alb-mi	µg/min
3049506	627498	nu-alb-mi	µg/min
3049539	4192	ts-pad-ish	binary
3049714	4496	s-pinp	µg/l
3049714	4496	s-pinp	binary
3049714	3004496	s-pinp	µg/l
3049717	4078	u-syto	binary
3049717	4078	u-syto-1	binary
3049717	104078	u-syto	binary
3049717	637952	u-syto	binary
3049717	619135	u-syto	binary
3049717	628749	u-syto	binary
3049804	4149	s-mpoabg	binary
3049804	3612	s-anca	binary
3049804	4149	s-mpoabg	iu/ml
3049804	609671	s-mpoabg	binary
3049804	9249	s-mpoabg	binary
3049804	9377	s-mpoabgk	binary
3049804	4149	s-mpoabg	u/ml
3049804	9249	s-mpoabg	iu/ml
3049804	616437	s-mpoabg	binary
3049804	3004149	s-mpoabg	iu/ml
3049804	3004149	s-mpoabg	binary
3049804	9377	s-mpoabgk	iu/ml
3049804	1104149	s-mpoabg	binary
3049804	1607289	s-anca	binary
3049804	103612	s-anca	binary
3050099	6324	-bkvnh	binary
3050129	604531	s-tr1seul	binary
3050129	4548	s-tr1seul	binary
3050129	104548	s-tr1seul	binary
3050238	2055	sy-kide-o	binary
3050238	102055	sy-kide-o	binary
3050238	6002055	sy-kide-o	binary
3050238	3002055	sy-kide-o	binary
3050238	602092	sy-kide-o	binary
3050238	2102055	sy-kide-o	binary
3050238	1102055	sy-kide-o	binary
3050449	3557	cu-alb	µg/min
3050449	35570	cu-alb	µg/min
3050449	7033174	cu-alb	µg/min
3050449	1103557	cu-alb	µg/min
3050449	614983	cu-alb	µg/min
3050449	3035570	cu-alb	µg/min
3050449	602630	cu-alb	µg/min
3050449	7010429	cu-alb	µg/min
3050449	35570	cu-alb	binary
3050449	618160	cu-alb	µg/min
3050794	2205	s-legiab	binary
3051050	4830	p-prl	mu/l
3051050	1605031	p-prl	mu/l
3051050	617471	p-prl	mu/l
3051050	4830	p-prl	binary
3051050	102507	p-prl	mu/l
3051050	624166	p-prl	mu/l
3051050	1002507	p-prl	mu/l
3051050	7010181	p-prl	mu/l
3051050	4830	p-prl	nmol/l
3051050	629235	p-prl	mu/l
3051050	2507	p-prl	mu/l
3051252	2932	fp-vip	pmol/l
3051252	2932	fp-vip	binary
3051552	6141	f-cldtnho	binary
3051552	619717	f-cldtnho	binary
3051552	649920	f-cldtnho	binary
3051552	637231	f-cldtnho	binary
3051552	7370081	f-cldtnho	binary
3051552	6139	f-cldtnho	binary
3051552	619762	f-cldtnho	binary
3051552	621452	f-cldtnho	binary
3051552	637832	f-cldtnho	binary
3051552	7368641	f-cldtnho	binary
3051552	620438	f-cldtnho	binary
3051552	619812	f-cldtnho	binary
3051552	5590390	f-cldtnho	binary
3051552	3960015	f-cldtnho	binary
3051552	622035	f-cldtnho	binary
3051552	2917705	f-cldtnho	binary
3051552	3657921	f-cldtnho	binary
3051552	2664145	f-cldtnho	binary
3051552	636856	f-cldtnho	binary
3051552	622578	f-cldtnho	binary
3051552	4077129	f-cldtnho	binary
3051552	630511	f-cldtnho	binary
3051552	7022942	f-cldtnho	binary
3051552	1663398	f-cldtnho	binary
3051552	631632	f-cldtnho	binary
3051552	628801	f-cldtnho	binary
3051552	106141	f-cldtnho	binary
3051552	3738355	f-cldtnho	binary
3051552	7022849	f-cldtnho	binary
3051552	2738650	f-cldtnho	binary
3051593	11451	cb-inrpika	NA
3051593	11451	cb-inrpika	binary
3051611	20537	-l-ind	NA
3051611	20537	-l-ind	binary
3051651	20538	-i-ind	NA
3051671	4619	s-s100	µg/l
3051671	4619	s-s100	binary
3051714	4113	p-fidd	mg/l
3051714	4113	p-fidd	binary
3051714	621300	p-fidd	mg/l
3051714	6004113	p-fidd	mg/l
3051714	104113	p-fidd	mg/l
3051714	621300	p-fidd	binary
3051714	3004113	p-fidd	binary
3051714	1004113	p-fidd	binary
3051714	6004113	p-fidd	binary
3051714	104113	p-fidd	binary
3051714	1104113	p-fidd	mg/l
3051714	3004113	p-fidd	mg/l
3051714	2104113	p-fidd	mg/l
3051714	2645080	p-fidd	mg/l
3051714	2104113	p-fidd	binary
3051714	1103939	p-fidd	mg/l
3051714	4113	p-fidd	NA
3051714	1004113	p-fidd	mg/l
3051714	4004113	p-fidd	mg/l
3051714	1104113	p-fidd	binary
3051714	4004113	p-fidd	binary
3051714	1605252	p-fidd	mg/l
3051714	3939	p-fidd	mg/l
3051714	1103939	p-fidd	binary
3051714	603155	p-fidd	binary
3051714	602058	p-fidd	mg/l
3051714	613810	p-fidd	binary
3051714	603166	p-fidd	binary
3051714	2645080	p-fidd	binary
3051714	1605252	p-fidd	binary
3051714	602058	p-fidd	binary
3051714	8629	p-fidd	mg/l
3051741	4549	s-pappa	mu/l
3051741	620901	s-pappa	mu/l
3051741	10823	s-pappa	mu/l
3051741	605906	s-pappa	mu/l
3051741	619548	s-pappa	mu/l
3051741	7032503	s-pappa	mu/l
3051741	4549	s-pappa	binary
3051741	604533	s-pappa	mu/l
3051741	4549	s-pappa	form
3051741	604533	s-pappa	binary
3051741	610891	s-pappa	binary
3051741	613102	s-pappa	mu/l
3051741	603152	s-pappa	mu/l
3051741	603703	s-pappa	mu/l
3051741	10015260	s-pappa	mu/l
3051741	627352	s-pappa	mu/l
3051741	607952	s-pappa	mu/l
3051741	10015255	s-pappa	mu/l
3051741	1627333	s-pappa	mu/l
3051741	3628524	s-pappa	binary
3051741	629401	s-pappa	mu/l
3051741	4549	s-pappa	NA
3051741	648786	s-pappa	mu/l
3051741	7023036	s-pappa	mu/l
3051741	1628524	s-pappa	binary
3051741	2628524	s-pappa	binary
3051741	104549	s-pappa	binary
3052318	4757	u-a1miglo	mg/l
3052318	4757	u-a1miglo	binary
3052649	2991	s-ada	u/l
3052649	12991	s-ada	u/l
3052649	2991	s-ada	NA
3052649	991	s-ada	u/l
3052649	933	s-ada	u/l
3052649	2991	s-ada	binary
3052649	3002991	s-ada	u/l
3052851	20536	-h-ind	NA
3052851	20536	-h-ind	binary
3052912	9379	s-pr3abgk	binary
3052912	9379	s-pr3abgk	iu/ml
3053209	11927	s-k/l-s-v	NA
3053209	11927	s-k/l-s-v	binary
4010399	6007	pt-fvspido	binary
4010399	621038	pt-fvspido	binary
4010399	608474	pt-fvspido	binary
4010399	102671	pt-fvspido	binary
4010399	6007	pt-fvspido	NA
4010399	6007	pt-fvspido	form
4012477	1483	pt-gluk-r1	binary
4012477	619737	pt-gluk-r1	binary
4012477	601918	pt-gluk-r1	binary
4012477	633054	pt-gluk-r1	binary
4012477	1483	pt-gluk-r1	mmol/l
4012477	631291	pt-gluk-r1	binary
4012477	1483	pt-gluk-r1	form
4012477	647832	pt-gluk-r1	binary
4012477	1483	pt-gluk-r1	NA
4012477	625303	pt-gluk-r1	binary
4012477	1468	pt-gluk-r1	mmol/l
4012477	623439	pt-gluk-r1	binary
4027681	3450	li-igg-ind	NA
4027681	3450	li-igg-ind	%
4027681	3450	li-igg-ind	binary
4027681	3450	li-igg-ind	ratio
4027681	224	li-igg-ind	binary
4027681	3450	li-igg-ind	index
4027681	3000224	li-igg-ind	binary
4027681	1003450	li-igg-ind	binary
4027681	613978	li-igg-ind	NA
4027681	7034400	li-igg-ind	NA
4027681	613978	li-igg-ind	binary
4035726	4191	ts-pad-ih	binary
4035726	618991	ts-pad-ih	binary
4038314	 post vasectomy"	2628	pt-sper-2
4040033	9281	b-xkompl	binary
4094501	2068	pt-klr-tje	binary
4094501	2068	pt-klr-tje	NA
4098508	1279	pt-ekg-24h	binary
4098508	1279	pt-ekg-24h	NA
4133840	2669	pt-spirom	binary
4133840	102669	pt-spirom	binary
4146454	11142	p-omagluk	mmol/l
4146454	11142	p-omagluk	NA
4162299	4069	pt-obd-1	binary
4162299	104069	pt-obd-1	binary
4162299	619277	pt-obd-1	binary
4162299	2104069	pt-obd-1	binary
4206982	4044	pt-papa-1	binary
4206982	104044	pt-papa-1	binary
4206982	2104044	pt-papa-1	binary
4206982	1104044	pt-papa-1	binary
4206982	4044	pt-papa-1	form
4206982	1607804	pt-papa-1	binary
4206982	77	pt-papa-1	binary
4212803	8039	bm-notto	binary
4229110	6369	fp-c-pept	nmol/l
4229110	6369	fp-c-pept	binary
4229110	648666	fp-c-pept	nmol/l
4229110	102503	fp-c-pept	nmol/l
4229110	2503	fp-c-pept	nmol/l
4229110	624172	fp-c-pept	nmol/l
4229110	629469	fp-c-pept	nmol/l
4229110	1102503	fp-c-pept	nmol/l
4229110	627753	fp-c-pept	nmol/l
4229110	644111	fp-c-pept	nmol/l
4229110	10066968	fp-c-pept	nmol/l
4229110	10066971	fp-c-pept	nmol/l
4229110	629832	fp-c-pept	nmol/l
4238568	9228	e-vrtark	binary
4281824	 peritoneal fluid"	4037	as-syto
4306422	4025	p-trombot	binary
4306422	600670	p-trombot	binary
4306422	104025	p-trombot	binary
21491866	6355	s-kopept	pmol/l
21491866	11163	s-kopept	pmol/l
21491866	644483	s-kopept	pmol/l
21491866	6355	s-kopept	NA
21491866	9839	s-kopept	pmol/l
21491866	627151	s-kopept	pmol/l
21491866	10055529	s-kopept	pmol/l
21491866	625727	s-kopept	pmol/l
21491866	6356	s-kopept	pmol/l
21491866	618000	s-kopept	pmol/l
21491866	9419	s-kopept	pmol/l
21491866	621317	s-kopept	pmol/l
21491868	3656	s-kryog	binary
21491868	3656	s-kryog	g/l
21491979	8864	s-prlbio	mu/l
21491979	50096	s-prlbio	mu/l
21491979	11907	s-prlbio	mu/l
21491979	12060	s-prlbio	mu/l
21491979	9179	s-prlbio	mu/l
21491979	607086	s-prlbio	mu/l
21491979	616	s-prlbio	mu/l
21491979	1605197	s-prlbio	mu/l
21491979	9159	s-prlbio	mu/l
21491979	612484	s-prlbio	mu/l
21491979	10607	s-prlbio	mu/l
21491979	10271	s-prlbio	mu/l
21491979	8091	s-prlbio	mu/l
21491979	9159	s-prlbio	mu/l
21491979	1606967	s-prlbio	mu/l
21491979	606967	s-prlbio	mu/l
21491979	2606967	s-prlbio	mu/l
21491979	10258	s-prlbio	mu/l
21491979	602966	s-prlbio	mu/l
21491979	10317	s-prlbio	mu/l
21491979	8864	s-prlbio	binary
21491979	7010197	s-prlbio	mu/l
21491979	19159	s-prlbio	mu/l
21492711	1831	s-cmvavi	binary
21492711	1831	s-cmvavi	NA
21492711	1831	s-cmvavi	index
21492711	2606604	s-cmvavi	binary
21493195	12637	resvirnho	binary
21493195	619571	resvirnho	binary
21493195	625932	resvirnho	binary
21493332	13246	np-päivinf	binary
21493332	627533	np-päivinf	binary
21493619	8930	b-kllfish	binary
21493690	8302	b-lydiff-t	binary
21493881	20956	-rvirnho	binary
21494227	3000	s-ami	mg/l
21494227	3000	s-ami	binary
21494262	92553	s-rjugr3e	u/ml
21494429	4112	b-frax-d	binary
21494434	2152	bm-kromos	binary
21494567	3304	s-legiabm	binary
21494567	3304	s-legiabm	NA
21494670	4952	b-jak2-d	binary
21494670	621717	b-jak2-d	binary
21494670	606410	b-jak2-d	binary
21494670	611631	b-jak2-d	binary
21494670	602370	b-jak2-d	binary
21494670	619979	b-jak2-d	binary
21494670	603687	b-jak2-d	binary
21494670	620298	b-jak2-d	binary
21494670	3636140	b-jak2-d	binary
21494670	1665740	b-jak2-d	binary
21494815	20111	cd4	%/lymf
21494815	20111	cd4	%
21494815	20111	cd4	NA
21494890	2520	du-prot-fr	binary
21494890	606037	du-prot-fr	binary
21494890	619182	du-prot-fr	binary
21494890	601949	du-prot-fr	binary
36031861	14454	np-pkorsi	binary
36031861	5601813	np-pkorsi	binary
36032269	9897	s-testovl	pmol/l
36032269	9897	s-testovl	binary
36203821	92489	s-stpn1	mg/l
36203922	92485	s-stpn14	mg/l
36204005	92487	s-stpn19f	mg/l
36204094	92488	s-stpn23f	mg/l
36204187	92482	s-stpn4	mg/l
36204286	92490	s-stpn5	mg/l
36303407	4560	fp-pth	ng/l
36303407	4560	fp-pth	pmol/l
36303407	4560	fp-pth	binary
36303407	606684	fp-pth	ng/l
36303407	4560	fp-pth	NA
36303407	1002457	fp-pth	binary
36303407	3004560	fp-pth	binary
36303407	1605035	fp-pth	ng/l
36303407	1102457	fp-pth	ng/l
36303407	606684	fp-pth	binary
36303407	2102457	fp-pth	ng/l
36303407	102457	fp-pth	ng/l
36303407	3004560	fp-pth	pmol/l
36303407	606208	fp-pth	ng/l
36303407	7370801	fp-pth	ng/l
36303407	621877	fp-pth	binary
36303407	600441	fp-pth	ng/l
36303407	600441	fp-pth	binary
36303407	600441	fp-pth	NA
36303407	1604132	fp-pth	pmol/l
36303407	624167	fp-pth	ng/l
36303407	603058	fp-pth	ng/l
36303407	104560	fp-pth	ng/l
36303407	1002457	fp-pth	ng/l
36303407	1606684	fp-pth	ng/l
36303407	619227	fp-pth	ng/l
36303407	2457	fp-pth	ng/l
36303407	7022971	fp-pth	ng/l
36303407	606208	fp-pth	binary
36303407	629245	fp-pth	ng/l
